sanskrit_word,devanagari,english,pos,category,example,example_meaning
yuddham,युद्धम्,war,noun,abstract,युद्धं विनाशकम्।,War is destructive.
satyam,सत्यम्,truth,noun,abstract,सत्यं जयति।,Truth wins.
asatyam,असत्यम्,lie,noun,abstract,असत्यं पापम्।,Lying is a sin.
jñānam,ज्ञानम्,knowledge,noun,abstract,ज्ञानं शक्तिः।,Knowledge is power.
ajñānam,अज्ञानम्,ignorance,noun,abstract,अज्ञानं तमः।,Ignorance is darkness.
svatantratā,स्वतन्त्रता,freedom,noun,abstract,स्वतन्त्रता मूल्यवान्।,Freedom is valuable.
dāsatvam,दासत्वम्,slavery,noun,abstract,दासत्वं दुःखदम्।,Slavery is sorrowful.
dveṣhaḥ,द्वेषः,hate,noun,abstract,द्वेषः विनाशकः।,Hate is destructive.
harṣhaḥ,हर्षः,joy,noun,abstract,हर्षः उत्सवः।,Joy is a celebration.
janma,जन्म,birth,noun,abstract,जन्म आशीर्वादः।,Birth is a blessing.
mṛityuḥ,मृत्युः,death,noun,abstract,मृत्युः निश्चितः।,Death is certain.
vivāhaḥ,विवाहः,marriage,noun,abstract,विवाहः पवित्रः।,Marriage is sacred.
vipariṇāmaḥ,विपरिणामः,divorce,noun,abstract,विपरिणामः दुःखदः।,Divorce is sorrowful.
kāryam,कार्यम्,job,noun,abstract,कार्यं आवश्यकम्।,Work is necessary.
kāryam,कार्यम्,work,noun,abstract,कार्यं पूर्णं कुरु।,Complete the work.
vyāpāraḥ,व्यापारः,business,noun,abstract,व्यापारः वृद्धिं गच्छति।,Business grows.
vāṇijyam,वाणिज्यम्,trade,noun,abstract,वाणिज्यं धनं आनयति।,Trade brings wealth.
dhanam,धनम्,money,noun,abstract,धनं साधनम्।,Money is a means.
aiśhvaryam,ऐश्वर्यम्,riches,noun,abstract,ऐश्वर्यं क्षणिकम्।,Riches are momentary.
dāridryam,दारिद्र्यम्,poverty,noun,abstract,दारिद्र्यं दुःखम्।,Poverty is sorrow.
mūlyam,मूल्यम्,price,noun,abstract,मूल्यं उच्चम् अस्ति।,The price is high.
vyayaḥ,व्ययः,cost,noun,abstract,व्ययः अधिकः भवति।,The cost becomes high.
mūlyavat,मूल्यवत्,value,noun,abstract,मूल्यवत् वस्तु रक्षणीया।,A valuable thing should be protected.
guṇavattā,गुणवत्ता,quality,noun,abstract,गुणवत्ता आवश्यकी।,Quality is necessary.
parimāṇam,परिमाणम्,quantity,noun,abstract,परिमाणं यथेष्टम्।,The quantity is sufficient.
saphalatā,सफलता,success,noun,abstract,सफलता परिश्रमेण आगच्छति।,Success comes with hard work.
asaphalatā,असफलता,failure,noun,abstract,असफलता अपि शिक्षा।,Failure is also a lesson.
vijayaḥ,विजयः,win,noun,abstract,विजयः सर्वत्र इष्यते।,Victory is desired everywhere.
parājayaḥ,पराजयः,lose,noun,abstract,पराजयः कष्टदायकः।,Defeat is painful.
pratiyogitā,प्रतियोगिता,competition,noun,abstract,प्रतियोगिता उत्तेजकः।,Competition is exciting.
puraskāraḥ,पुरस्कारः,prize,noun,abstract,पुरस्कारः प्रोत्साहनम्।,A prize is encouragement.
