sanskrit,devanagari,english,pronunciation,word_type,meaning,example,category,tags,source
agniḥ,अग्निः,fire,agniḥ,noun,fire; heat,अग्निः उष्णः अस्ति।,elements,"basic,fire",database
jalaṃ,जलं,water,jalam,noun,water; fluid,जलं शीतलं अस्ति।,elements,"basic,water",database
vāyuḥ,वायुः,air,vāyuḥ,noun,air; wind,वायुः वहति।,elements,"basic,air",database
bhūmiḥ,भूमिः,earth,bhūmiḥ,noun,earth; ground,भूमिः स्थिरा अस्ति।,elements,"basic,earth",database
sūryaḥ,सूर्यः,sun,sūryaḥ,noun,sun,सूर्यः उदेति।,celestial,"sun,celestial",database
candraḥ,चन्द्रः,moon,candraḥ,noun,moon,चन्द्रः शोभते।,celestial,"moon,celestial",database
putraḥ,पुत्रः,son,putraḥ,noun,son; child,पुत्रः पठति।,family,"family,people",database
phalam,फलम्,fruit,phalam,noun,fruit,फलं मधुरम् अस्ति।,food,"food,fruit",database
granthaḥ,ग्रन्थः,book,granthaḥ,noun,book; text,ग्रन्थः विशालः अस्ति।,objects,"education,objects",database
gacchati,गच्छति,goes,gacchati,verb,to go; to move,रामः गच्छति।,actions,"verb,movement",database
asti,अस्ति,is,asti,verb,to be; exists,सीता अस्ति।,actions,"verb,existence",database
khādati,खादति,eats,khādati,verb,to eat,बालः खादति।,actions,"verb,eating",database
मित्रम्,मित्रम्,friend,मित्रम्,noun,Translation of friend,,api-added,"api,google_api",google_api
नामः,नामः,name,नामः,noun,Translation of name,,api-added,"api,google_api",google_api
क्रिकेट् इति,क्रिकेट् इति,cricket,क्रिकेट् इति,noun,Translation of cricket,,api-added,"api,google_api",google_api
अग्नयः,अग्नयः,agnih,अग्नयः,noun,Translation of agnih,,api-added,"api,mymemory_api",mymemory_api
अग्नयः ।,अग्नयः ।,agnih:,अग्नयः ।,noun,Translation of agnih:,,api-added,"api,mymemory_api",mymemory_api
क्षणिक,क्षणिक,instant,क्षणिक,noun,Translation of instant,,api-added,"api,google_api",google_api
भविष्यति,भविष्यति,will,भविष्यति,noun,Translation of will,,api-added,"api,google_api",google_api
इच्छाशक्तिः,इच्छाशक्तिः,willpower,इच्छाशक्तिः,noun,Translation of willpower,,api-added,"api,google_api",google_api
अन्विष्यति,अन्विष्यति,seek,अन्विष्यति,noun,Translation of seek,,api-added,"api,google_api",google_api
